Time,Volts,Amps
0.0,-5.0,-0.0001049919
0.00390625,-4.9,-0.0001049943
0.008789063,-4.8,-0.0001049924
0.01269531,-4.7,-0.0001049923
0.01757813,-4.6,-0.0001049923
0.02246094,-4.5,-0.0001049906
0.02636719,-4.4,-0.0001049917
0.03125,-4.3,-0.0001049953
0.03613281,-4.2,-0.0001049928
0.04003906,-4.1,-0.0001049996
0.04492188,-4.0,-0.0001049941
0.04980469,-3.9,-0.0001049918
0.05371094,-3.8,-0.0001049897
0.05859375,-3.7,-0.0001049869
0.0625,-3.6,-0.0001049934
0.06738281,-3.5,-0.0001049929
0.07226563,-3.4,-0.0001049963
0.07617188,-3.3,-0.0001049924
0.08105469,-3.2,-0.0001049826
0.0859375,-3.1,-0.0001049904
0.08984375,-3.0,-0.0001049894
0.09472656,-2.9,-0.0001049929
0.09960938,-2.8,-0.0001049895
0.1035156,-2.7,-0.000104989
0.1083984,-2.6,-0.0001049929
0.1123047,-2.5,-0.0001049972
0.1171875,-2.4,-0.0001049911
0.1220703,-2.3,-0.0001049938
0.1259766,-2.2,-0.0001049919
0.1308594,-2.1,-0.0001049923
0.1357422,-2.0,-0.0001049897
0.1396484,-1.9,-0.0001049948
0.1445313,-1.8,-0.0001049934
0.1494141,-1.7,-0.0001049919
0.1533203,-1.6,-0.0001049906
0.1582031,-1.5,-0.0001049926
0.1630859,-1.4,-0.0001049963
0.1669922,-1.3,-0.0001049889
0.171875,-1.2,-0.0001049904
0.1767578,-1.1,-0.0001049921
0.1806641,-1.0,-0.0001008057
0.1855469,-0.9,-9.071206e-05
0.1894531,-0.8,-8.074323e-05
0.1943359,-0.7,-7.062752e-05
0.1992188,-0.6,-6.048508e-05
0.203125,-0.5,-5.03385e-05
0.2080078,-0.4,-4.041584e-05
0.2119141,-0.3,-3.026289e-05
0.2167969,-0.2,-2.015955e-05
0.2216797,-0.1,-1.000002e-05
0.2460938,0.0,1.192866e-07
0.2685547,0.1,1.089322e-05
0.2724609,0.2,2.100375e-05
0.2773438,0.3,3.120333e-05
0.28125,0.4,4.126656e-05
0.2861328,0.5,5.122984e-05
0.2910156,0.6,6.141416e-05
0.2949219,0.7,7.151489e-05
0.2998047,0.8,8.16168e-05
0.3037109,0.9,9.155706e-05
0.3085938,1.0,0.0001017782
0.3134766,1.1,0.0001050025
0.3173828,1.2,0.0001050041
0.3222656,1.3,0.0001049932
0.3261719,1.4,0.000105
0.3310547,1.5,0.0001050071
0.3359375,1.6,0.0001050017
0.3398438,1.7,0.0001050211
0.3447266,1.8,0.0001050223
0.3496094,1.9,0.0001050039
0.3535156,2.0,0.0001050068
0.3583984,2.1,0.0001050049
0.3632813,2.2,0.0001050115
0.3671875,2.3,0.0001050112
0.3720703,2.4,0.0001050044
0.3759766,2.5,0.0001050029
0.3808594,2.6,0.0001050044
0.3857422,2.7,0.0001049929
0.3896484,2.8,0.0001050084
0.3945313,2.9,0.0001050081
0.3994141,3.0,0.000105001
0.4033203,3.1,0.000104999
0.4082031,3.2,0.0001050093
0.4121094,3.3,0.0001050169
0.4169922,3.4,0.0001050027
0.421875,3.5,0.0001049992
0.4257813,3.6,0.0001050027
0.4306641,3.7,0.0001050124
0.4355469,3.8,0.0001050002
0.4394531,3.9,0.0001050051
0.4443359,4.0,0.0001050005
0.4492188,4.1,0.0001050009
0.453125,4.2,0.0001050009
0.4580078,4.3,0.00010501
0.4619141,4.4,0.0001050095
0.4667969,4.5,0.0001050049
0.4716797,4.6,0.0001050058
0.4755859,4.7,0.0001050088
0.4804688,4.8,0.0001050031
0.4853516,4.9,0.0001049968
0.4892578,5.0,0.0001050009
0.4941406,5.1,0.0001050039
0.4980469,5.2,0.0001050085
0.5029297,5.3,0.0001050035
0.5078125,5.4,0.0001050161
0.5117188,5.5,0.0001050147
0.5166016,5.6,0.0001050068
0.5214844,5.7,0.0001050057
0.5253906,5.8,0.0001050101
0.5302734,5.9,0.000105009
0.5341797,6.0,0.0001050046
0.5390625,6.1,0.0001050056
0.5439453,6.2,0.0001050041
0.5478516,6.3,0.0001050007
0.5527344,6.4,0.0001050044
